Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR THE TOWER,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
"[i.e., temp_2m]",[YYYYMMDD hhmmss],[YYYYMMDD hhmmss],"[1,2,3,4]",[details for determination],[last name]
ALL_FIELDS,20200510 081000,20200624 140000,2,tower not installed,shupe
ALL_FIELDS,20200607 112000,20200607 123500,2,tower not installed,shupe
ALL_FIELDS,20200624 140000,20200627 092000,3,tower down operation for calibration purposes,shupe
ALL_FIELDS,20200729 083000,20200825 130000,2,tower not installed ,shupe
ALL_FIELDS,20200825 130000,20200827 112000,3,tower down operation for calibration purposes,shupe
ALL_FIELDS,20200918 055000,20201002 000000,2,tower not installed,shupe
apogee_body_T,20191001 000000,20191015 075400,2,The sensor was not recording and 0s were stored.,ccox
apogee_targ_T,20191001 000000,20191015 075400,2,The sensor was not recording and 0s were stored.,ccox
apogee_targ_T,20200729 083702,20200729 084030,1,"something warm is under the IRT. I don't understand this signal, but I think people were around",ccox
apogee_targ_T,20200827 093014,20200827 111106,1,something warm is under the IRT. I don't understand this signal.,ccox
atmos_pressure_2m,20200117 172132,20200119 115500,2,Constant values. Probably sensor not responding and last response stuck in logger memory allocation.,ccox
atmos_pressure_mast,20200313 000000,20200513 000000,2,"Physical variability, but major (10s of mb) positive bias appeared during the Leg 3 Newdle reboot.",ccox
brightness_temp_surface,20200201 040000,20200219 220000,1,strange variability and offsets during this time.  icing?,shupe
brightness_temp_surface,20200223 140000,20200313 030000,1,prolonged cold and tower IRT appears to be biased low relative to other systems,shupe
brightness_temp_surface,20200702 090200,20200702 092800,2,site maintenance,shupe
brightness_temp_surface,20200702 125200,20200702 130600,2,site maintenance,shupe
brightness_temp_surface,20200725 002000,20200725 060000,3,strange dip in the signal,shupe
brightness_temp_surface,20200827 092900,20200827 101300,2,site maintenance,shupe
brightness_temp_surface,20200827 103600,20200827 111100,2,site maintenance,shupe
dew_point_10m,20191001 000000,20191019 071937,1,"Right at the beginning, possibly bogus temps",ccox
dew_point_10m,20200712 184300,20200712 191900,2,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point_10m,20200716 111200,20200716 114300,2,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
