 ,,,,,
,,,,,
THIS IS FOR ASFS50,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
"[i.e., temp_2m]",[YYYYMMDD hhmmss],[YYYYMMDD hhmmss],"[1,2,3,4]",[details for determination],[last name]
subsurface_heat_flux_B,20200415 000000,20201001 000000,1,"we have concerns about uncertainties in the second half of mosaic - solar heating, contact issues, frequent melt out, level, etc",ccox
up_short_hemisp,20200910 133000,20200911 070000,1,suggestion of icing on dome,shupe
co2_licor,20201015 000000,20200919 000000,1,caution. h2o crosstalk,ccox
temp,20200130 130000,20200131 020000,1,start up,shupe
dew_point,20200205 030200,20200205 030600,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
down_short_hemisp,20200910 133000,20200911 070000,1,suggestion of icing on dome,shupe
wspd_u_mean,20200831 060000,20200831 060900,1,no idea. was the sled being moved?,ccox
wspd_u_mean,20200930 141300,20201001 231000,1,suspicious,ccox
wspd_v_mean,20200831 060000,20200831 060900,1,no idea. was the sled being moved?,ccox
wspd_v_mean,20200930 141300,20201001 231000,1,suspicious,ccox
dew_point,20191015 000000,20191010 011400,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20200925 123800,20200925 130300,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20200924 083400,20200924 101900,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20200414 124300,20200214 124900,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
ALL_FIELDS,20200201 010500,20200203 235959,1,appears that sled is starting to be impacted by ridging,shupe
dew_point,20200130 132100,20200130 133700,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
wspd_w_mean,20200831 060000,20200831 060900,1,no idea. was the sled being moved?,ccox
rh,20191015 000000,20191010 011400,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
rh,20200925 123800,20200925 130300,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
rh,20200924 083400,20200924 101900,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
subsurface_heat_flux_A,20200415 000000,20201001 000000,1,"we have concerns about uncertainties in the second half of mosaic - solar heating, contact issues, frequent melt out, level, etc",ccox
subsurface_heat_flux_A,20200507 113000,20201002 235900,1,caution for flux plates after uninstall from Leg 3,shupe
rh,20200205 030200,20200205 030600,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
co2_licor,20191017 000000,20200918 050200,1,caution. h2o crosstalk,ccox
rh,20200130 130000,20200131 120000,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox/shupe
wspd_w_mean,20200930 141300,20201001 231000,1,suspicious,ccox
subsurface_heat_flux_B,20200507 113000,20201002 235900,1,caution for flux plates after uninstall from Leg 3,shupe
rh,20200414 122800,20200214 140000,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox/shupe
wspd_u_mean,20200414 124700,20200507 112400,3,this was the repaired sonic from L3; proceed with caution!,ccox
wspd_u_mean,20200204 010200,20200204 011800,3,this is what you get for wind speed when asfs falls over,ccox
wspd_v_mean,20200204 010200,20200204 011800,3,this is what you get for wind speed when asfs falls over,ccox
wspd_w_mean,20200204 010200,20200204 011800,3,this is what you get for wind speed when asfs falls over,ccox
wspd_u_mean,20200414 124700,20200507 112400,3,this was the repaired sonic from L3; proceed with caution!,ccox
wdir_vec_mean,20200414 124700,20200507 112400,3,this was the repaired sonic from L3; proceed with caution!,ccox
wspd_v_mean,20200414 124700,20200507 112400,3,this was the repaired sonic from L3; proceed with caution!,ccox
wspd_vec_mean,20200414 124700,20200507 112400,3,this was the repaired sonic from L3; proceed with caution!,ccox
co2_licor,20200405 083700,20200404 095600,3,"lab testing, I think",ccox
